1516778200.9658298
Carl Barron , 0.40154
Håkan Hellström , 0.40154
Baba Ali , 0.40154
Steve Hofstetter , 0.40154
Bo Burnham , 0.51261
Frankie Boyle , 0.51261
John Leguizamo , 0.51261
Trippie Redd , 0.51261
Patricia Heaton  , 0.51261
Beck Bennett , 0.51261
Colin Quinn , 0.51261
Ben Bailey , 0.51261
James Taylor , 0.51261
Mario Barth , 0.51261
Lauren Lapkus , 0.51261
Jack Benny , 0.51261
Carl Barron , 0.40154
Håkan Hellström , 0.40154
Baba Ali , 0.40154
Steve Hofstetter , 0.40154
Bo Burnham , 0.51261
Frankie Boyle , 0.51261
John Leguizamo , 0.51261
Trippie Redd , 0.51261
Patricia Heaton  , 0.51261
Beck Bennett , 0.51261
Colin Quinn , 0.51261
Ben Bailey , 0.51261
James Taylor , 0.51261
Mario Barth , 0.51261
Lauren Lapkus , 0.51261
Jack Benny , 0.51261
Bill Bailey , 0.51261
Joni Mitchell , 0.51261
Natasha Leggero , 0.51261
Hugo Egon Balder , 0.51261
Jackson Browne , 0.51261
Riki Lindhome , 0.51261
Demetri Martin , 0.51261
Aisling Bea , 0.51261
A$AP Ferg , 0.51261
Tim Heidecker , 0.51261
Glenn Beck , 0.51261
Chris Stapleton , 0.51261
Matt Besser , 0.51261
Harry Hill , 0.51261
Maria Bamford , 0.51261
Jürgen Becker , 0.51261
Sofia Carson , 0.51261
Jürgen Becker , 0.51261
Ari Shaffir , 0.51261
Rob Beckett , 0.51261
Danny Bhoy , 0.51261
Greg Behrendt , 0.51261
Basshunter , 0.51261
Joel McHale , 0.51261
Julian Barratt , 0.51261
Arj Barker , 0.55255
Ronnie Barker , 0.55255
Noah Cyrus , 0.6544
Cat Stevens , 0.6544
Lionel Richie , 0.6544
Bill Bellamy , 0.6544
Eddie Izzard , 0.6544
Richard Herring , 0.6544
Jim Belushi , 0.6544
Dylan Moran , 0.6544
Tyler, the Creator , 0.6544
Todd Barry , 0.6544
John Mulaney , 0.6544
Penn Jillette , 0.6544
Pete Holmes , 0.6544
Jay Baruchel , 0.6544
George Lopez , 0.6544
Kyle Mooney , 0.6544
Doug Benson , 0.6544
Hannah Hart , 0.6544
Jon Lajoie , 0.6544
Jane Fonda , 0.6544
Kehlani , 0.6544
Chris Hardwick  , 0.6544
Skylar Grey , 0.6544
Sandra Bernhard , 0.6544
Colleen Ballinger , 0.6544
Janet Varney , 0.6544
Jillian Bell , 0.6544
Tom Waits , 0.6544
Alessia Cara , 0.6544
Luke Bryan , 0.6544
Grace Helbig  , 0.6544
Zach Braff , 0.6544
Machine Gun Kelly , 0.6544
Gucci Mane , 0.6544
Jeff Foxworthy , 0.6544
Mindy Kaling , 0.6544
XXXTentacion , 0.6544
Marc Maron , 0.6544
W. Kamau Bell , 0.6544
Rita Ora , 0.70539
Roseanne Barr , 0.80059
Morrissey , 0.80059
Dua Lipa , 0.80059
Anitta , 0.80059
Van Morrison , 0.80059
SZA , 0.80059
Astrid S , 0.80059
Chance The Rapper , 0.80059
G-Eazy , 0.80059
Jenna Marbles , 0.80059
Takeshi Kitano , 0.80059
Aretha Franklin , 0.80059
Big Sean , 0.80059
Billy Joel , 0.80059
Charli XCX , 0.80059
Matt LeBlanc , 0.80059
Bill Burr , 0.80059
Utada , 0.80059
Jason Bateman , 0.80059
Jenny McCarthy , 0.80059
Dan Harmon  , 0.80059
Julia Louis-Dreyfus , 0.80059
Akon , 0.80059
Phil Collins , 0.80059
A$AP Rocky , 0.80059
Michael Bublé , 0.80059
Desiigner , 0.80059
Elvis Costello , 0.80059
Jason Biggs , 0.80059
Niall Horan , 0.80059
Jason Derulo , 0.80059
Colbie Caillat , 0.80059
Sigourney Weaver , 0.80059
Steve Aoki , 0.80059
Bill Cosby , 0.80059
Vince Barnett , 0.80059
Enya , 0.80059
Lil Yachty , 0.80059
Tina Turner , 0.86297
Travis Scott , 0.86297
Samantha Bee , 0.86297
Idina Menzel , 0.97944
Alice Cooper , 0.97944
Hailee Steinfeld , 0.97944
Eric Clapton , 0.97944
J. Cole , 0.97944
Marion Cotillard , 0.97944
John Mayer , 0.97944
Halsey , 0.97944
Young Thug , 0.97944
Bruce Springsteen , 0.97944
Meghan Trainor , 0.97944
Sofía Vergara , 0.97944
Bill Maher , 0.97944
Calvin Harris , 0.97944
Tim Minchin , 0.97944
Sia , 0.97944
Michael Fassbender , 0.97944
Hilary Swank , 0.97944
Zara Larsson , 0.97944
Enrique Iglesias , 0.97944
Jason Mraz , 0.97944
Macklemore , 0.97944
Christina Perri , 0.97944
Hugh Laurie , 0.97944
Bebe Rexha , 0.97944
“Weird Al” Yankovic , 1.05576
Roger Waters , 1.05576
Kevin James , 1.05576
Shawn Mendes , 1.05576
Woody Allen , 1.05576
Alec Baldwin , 1.05576
Steve Harvey , 1.05576
Usher , 1.05576
Willie Nelson , 1.05576
Drew Barrymore , 1.19826
Kevin Spacey , 1.19826
Sean John Combs , 1.19826
Bradley Cooper , 1.19826
Rick Ross , 1.19826
Wiz Khalifa , 1.19826
Mel Gibson , 1.19826
David Guetta , 1.19826
Björk , 1.19826
Neil Diamond , 1.19826
Ellie Kemper , 1.19826
Gillian Anderson , 1.19826
Demi Lovato , 1.19826
Elton John , 1.19826
Ludacris , 1.19826
Ellie Goulding , 1.19826
Gillian Jacobs , 1.19826
Julianne Moore , 1.19826
Neil Young , 1.19826
Jared Leto , 1.19826
Avicii , 1.19826
Dove Cameron , 1.19826
Harry Styles , 1.19826
Ken Jeong , 1.19826
Liam Neeson , 1.19826
Blake Shelton , 1.19826
P!nk , 1.19826
Gwen Stefani , 1.19826
Lil Wayne , 1.19826
Bob Dylan , 1.19826
Amy Adams , 1.19826
Catherine Zeta-Jones , 1.19826
Kevin Hart , 1.19826
John Travolta , 1.19826
Robert Pattinson , 1.29163
Sam Smith , 1.29163
Seth Meyers , 1.29163
Paul McCartney , 1.29163
Mariah Carey , 1.46595
Reese Witherspoon , 1.46595
Pitbull , 1.46595
Jack Nicholson , 1.46595
Céline Dion , 1.46595
Clint Eastwood , 1.46595
Jack Black , 1.46595
Martin Garrix , 1.46595
Halle Berry , 1.46595
50 cent , 1.46595
Edward Norton , 1.46595
Ariana Grande , 1.46595
The Weeknd , 1.46595
Bruno Mars , 1.46595
Melissa McCarthy , 1.46595
Kelly Clarkson , 1.46595
Cameron Diaz , 1.46595
Russell Brand , 1.46595
Alicia Keys , 1.46595
Camila Cabello , 1.46595
Christina Aguilera , 1.46595
Jodie Foster , 1.46595
